time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,temperature_2m,relative_humidity_2m,wind_speed_10m,day,month,year,day_of_week,temp_roll24,humidity_roll24,wind_roll24,AQI_roll24,AQI_roll_std24,AQI_lag24,AQI_roll3,AQI_trend_24h
2025-10-30 00:00:00,-0.7840725228990674,-0.7437334583314122,-0.5826897140756533,0.3953616315505088,-1.000185953058473,-0.6956198014888935,-0.4226179339593546,-1.0586639209099902,0.948109656804129,0.4207925621870014,30,10,2025,3,-0.031076965915428276,-0.04531645091084965,0.8932215526456576,0.07984553370598273,0.25388257422034183,-0.4877563795757552,-0.300507748052614,0.06513844561640059
2025-10-30 01:00:00,-0.6721755247862347,-0.6335825874840396,-1.1167389770300713,-0.0356666554995395,-1.17304458425988,-0.4679145018289517,-0.5549235839273224,-1.1838974140840772,1.1554500450968588,0.3441876748443939,30,10,2025,3,-0.026526056259069977,-0.05985339204777992,0.8825674127910763,0.07169986729090934,0.27113888825869487,-0.359427589965561,-0.42521672349470224,-0.19549599396176143
2025-10-30 02:00:00,-0.6965663883880876,-0.6645209665208542,-1.6144884517663476,-0.5292684577728818,-1.3045669019203356,-0.3324449751782034,-0.6242044140390721,-1.2775366940908468,1.3231119167252132,0.2558611051137537,30,10,2025,3,-0.02393068668190965,-0.07174611233343604,0.8714451681870191,0.05563252328587174,0.30019436499692936,-0.2385881579181699,-0.5339153106419164,-0.3856162561209022
2025-10-30 03:00:00,-0.7587226528613303,-0.7518061829582802,-2.0111253153523783,-0.8511743041478047,-1.3870619901495609,-0.3099438187353159,-0.7694690861434957,-1.0272880160931437,1.216992025535888,-0.2273520122961859,30,10,2025,3,-0.021317150220432294,-0.08375340188512109,0.8582625935762093,0.02876581210512869,0.3428552618017828,-0.1246680178056625,-0.6495323613699635,-0.6448010683378332
2025-10-30 04:00:00,-0.8487211439959298,-0.8849466111165246,-2.124731216016357,-0.9390123182686336,-1.3870619901495609,-0.377512097252304,-0.8456462079645444,-0.4420677393600607,0.8819974697287221,-0.0532260988170381,30,10,2025,3,-0.015351656273352684,-0.09901664972157787,0.8401166582796845,-0.005754853127019298,0.3865978512416307,-0.0171502423929926,-0.746439902715704,-0.8284959655715518
2025-10-30 05:00:00,-0.4748613863757107,-0.434997755486973,-1.3736286675674911,-0.7232837834680378,-0.9297375498647472,-0.3324449751782034,-1.005613254533815,0.3138621559303504,0.3936621356112401,0.2882161880541132,30,10,2025,3,-0.0025503651509035177,-0.12139213678510968,0.8105051670664598,-0.05117352147937301,0.43636870075067163,0.0844347859226741,-0.8735761828806184,-1.0900480404564892
2025-10-30 06:00:00,-0.5140969672233775,-0.4920623609185492,-0.0240556550629724,-0.1285087307552279,-0.7087707590265996,-0.4905729373833917,-1.0896299833282437,0.8361773832248187,-0.1382320594715002,1.683557878900589,30,10,2025,3,0.01447362641449603,-0.12606782586514811,0.7955498302907976,-0.10409620711287604,0.4817133745496329,0.1805144718758287,-0.980296481942201,-1.2701444552040724
2025-10-30 07:00:00,-0.4693116747677769,-0.4420532534557585,0.8052898279877178,0.3461607932126475,-0.4300151845496733,-0.7185351818815036,-1.176497367154669,1.0995672286505966,-0.3399202155725996,1.6911408310101326,30,10,2025,3,0.0268157173202383,-0.10559468837704487,0.7813182010200309,-0.16255913673850012,0.5231902387490078,0.2266129438603092,-1.0905802016722426,-1.4031103110149783
2025-10-30 08:00:00,-0.3823273425180368,-0.318285861479584,1.0811157782530956,0.5112090070082848,-0.2665285271383993,-0.6956198014888935,-1.2663454352631824,1.2980635011390609,-0.5227531174001565,1.5573545241270952,30,10,2025,3,0.03577408960897211,-0.06830153298451451,0.7695077812480718,-0.22663513301317828,0.5605572747825175,0.2714784753290939,-1.1774909285820316,-1.5378239105922764
2025-10-30 09:00:00,-0.3610964084840197,-0.4633516901758418,0.8777654786538208,0.2944679743577736,-0.2490329586830821,-0.2425663982308684,-1.359311702013604,1.4142255606095409,-0.6130126526836319,1.361327860135867,30,10,2025,3,0.04268500825786753,-0.023995413963507333,0.7541396892861892,-0.2981765638269224,0.5914556568487869,0.3576826375162545,-1.2673848348104853,-1.7169943395298586
2025-10-30 10:00:00,-0.4915930326284258,-0.6958804707844455,0.2452414359870736,-0.3002149303793813,-0.3019076017461469,0.4002326846200383,-1.4555416892873525,1.4142255606095409,-0.4640087854613974,1.3264623494818228,30,10,2025,3,0.05097531364137445,0.002709172001208212,0.7425820751056206,-0.37545340883245726,0.6169994016605876,0.3991025908454844,-1.3603996088547132,-1.8546442801328369
2025-10-30 11:00:00,-0.9978165643217152,-1.0721035207295473,-0.6149567925650229,-1.1816219167572848,-0.4112897833040062,0.9010292542370384,-1.5551894918866698,1.314641355940395,-0.3146941159277513,1.2766470190340913,30,10,2025,3,0.05511627716366695,0.04987763134484491,0.7280021102109614,-0.4568822456129637,0.638903085660708,0.3991025908454844,-1.456680961062542,-1.9542920827321542
2025-10-30 12:00:00,-1.2652160510864148,-1.306011814396934,-0.9809567430735128,-1.6744763364003852,-0.565350953447384,1.095207513507,-1.5551894918866698,1.2649245733472518,-0.5417989613439343,1.1479125519243456,30,10,2025,3,0.064068539628068,0.08590238876369923,0.7072438147153748,-0.5365852510047522,0.6520481349490472,0.3576826375162545,-1.5219735576868973,-1.9128721294029243
