time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,temperature_2m,relative_humidity_2m,wind_speed_10m
2023-09-30 00:00:00,1.621964759508258,0.6254402740936402,-0.2890007626784301,0.6089818804280843,-1.1313069626351886,-0.6968185183369126,0.2616382584973682,-0.3774906719069714,1.799484839613629,-1.782482301051643
2023-09-30 01:00:00,1.7639020260122071,0.7063011240010066,-0.3720192661444981,0.5268172418663605,-1.043315334985396,-0.6968185183369126,0.2616382584973682,-0.2830909184761516,1.8372491236567785,-1.3593029033881692
2023-09-30 02:00:00,1.9495159252855712,0.8124750646086729,-0.4832693296663446,0.4174273805249914,-1.0149011305636202,-0.6636988419369839,0.3038908243588228,-0.3042278129573008,1.8184259162860132,-0.8479319807629636
2023-09-30 03:00:00,1.9495159252855712,1.0120575882055578,-0.782249136896679,0.1555963125928195,-1.1015037621053994,-0.5349915583653359,0.3454910427232538,-0.3566720407456722,1.7809058635314232,-1.2323109498211575
2023-09-30 04:00:00,1.9495159252855712,1.2553234520478378,-1.192480222776553,-0.2100623526049777,-1.1924091201664797,-0.4117745804192478,0.3864560674695085,0.0675193080267525,0.8425645438083964,-0.9913489455835212
2023-09-30 05:00:00,1.9495159252855712,1.3125695414281973,-0.9738315738659082,-0.11932516108067,-1.1015037621053994,-0.5036987798120545,0.426802419235564,1.4257096865609262,-1.0023948156793585,0.5902105750280541
2023-09-30 06:00:00,1.9495159252855712,1.4340193232043144,0.2179278983993564,0.6450982880009984,-0.8274991137637171,-0.8687595448248223,0.5057021981896284,2.530556061056908,-1.8601643774417045,1.7671051783101737
2023-09-30 07:00:00,1.9495159252855712,1.7185774465289436,0.9697140238249262,1.231074752740941,-0.4810929791915716,-1.424540655833655,0.5442857615616036,2.9450013854632173,-1.912630728571976,1.6620304178674263
2023-09-30 08:00:00,1.9495159252855712,1.8922444624863224,1.2367249850664694,1.449176923101494,-0.1904496984334953,-1.424540655833655,0.6197916127747153,3.22480833366572,-2.008843247186225,1.2523187453971787
2023-09-30 09:00:00,1.9495159252855712,1.826540259710248,1.1059065986942216,1.2871309850667418,0.1058397738904262,-0.3817533800578536,0.693171872315155,3.22480833366572,-2.0601069969498016,0.9837268736224744
2023-09-30 10:00:00,1.9495159252855712,1.335101017398988,0.6831216882854604,0.8212252265142832,0.3599967604094637,0.7039419387068884,0.7645275392945211,3.22480833366572,-2.080359709347043,1.0114661176633069
2023-09-30 11:00:00,1.9495159252855712,0.9538561448360928,0.1380777074101865,0.1989775717433506,0.4498177468967964,1.3859085094216868,0.8339529343267283,2.977557039797243,-2.05474161474179,0.9584406669265744
2023-09-30 12:00:00,1.9495159252855712,0.6698731531782873,-0.2624058344855736,-0.3592475960651902,0.2792311884049058,1.673498009280006,0.8339529343267283,1.7791133242537878,-1.5750522487079983,1.3844429328844157
2023-09-30 13:00:00,1.938881813060636,0.193949764508056,-0.5872835058385023,-0.9241855653965636,-0.0861595560064502,1.7769535236019658,0.8679695681891747,1.073831242067823,-1.1810912761541554,1.065203576461237
2023-09-30 14:00:00,1.6326159799435895,-0.1082369422275905,-0.7917509191663078,-1.236950210567218,-0.3789239401866785,1.7598652485452075,0.8339529343267283,0.7252139113635484,-1.0846072502629287,-0.0188240900008588
2023-09-30 15:00:00,1.5310729597874912,-0.2743081671314041,-0.8206221707079622,-1.0066362536764082,-0.3789239401866785,1.6209136964316715,0.8339529343267283,0.4055753157485835,-0.5328264906408646,-1.8084407691800564
2023-09-30 16:00:00,1.4690108293588515,-0.3616883916791977,-0.6639461131554462,-0.4407091645440903,-0.2449523657971664,1.3486529524857738,0.799475870895325,0.2050523776820238,-0.4362377378799866,-1.6862758285700117
2023-09-30 17:00:00,1.9495159252855712,1.0184406047775456,-0.1248017491755166,0.2973397131975279,-0.1031265777524634,0.9982773326203196,0.7645275392945211,0.0902116194551164,-1.0643496495114413,-0.472886904248516
2023-09-30 18:00:00,1.9495159252855712,1.4394000819177288,0.3432412138492649,1.001124145508123,-0.0526987877136824,0.479397890740455,0.799475870895325,0.1818997797124387,-1.408644739473897,0.5807046921645219
2023-09-30 19:00:00,1.9495159252855712,1.6106756879456492,0.7798607166092901,1.5562149412862087,-0.0036485546839077,-0.3817533800578536,0.8679695681891747,0.1703581594269243,-1.4460883082232956,0.1740732083105021
2023-09-30 20:00:00,1.9495159252855712,1.6455240691442308,0.965006320649463,1.6935140931692294,-0.0036485546839077,-1.130473197510124,0.9346631640218256,-5.738529500778875e-06,-1.3853541271196563,-0.1672198023435701
2023-09-30 21:00:00,1.9495159252855712,1.5187322079610852,0.8790089470237011,1.6935140931692294,-0.1031265777524634,-1.130473197510124,0.9996366152886944,-0.0445636178453707,-0.8231663979314674,0.2938732399706171
2023-09-30 22:00:00,1.9495159252855712,1.4286267886245936,0.6201199852889577,1.4222349714933464,-0.2822255079228302,-0.7303411831193715,1.0629649301889703,-0.2830909184761516,0.0135709368968128,-0.0052467560215928
2023-09-30 23:00:00,1.9495159252855712,1.482028260510182,0.3057110899250089,1.0857142895335428,-0.4601921572056321,-0.4117745804192478,1.0940343450744563,-0.540775244951571,0.4950357878912637,-0.3762064559136224
2023-10-01 00:00:00,1.9495159252855712,1.6405758417550682,0.0052650588052596,0.7901259684315712,-0.6809156573380621,-0.2645451619386946,1.1550257202485998,-0.7558546261320482,0.7156551301877514,-0.8291269476593023
